Position,Company,City,Posted,Company Industry,JobText,Job Role,Career Level,Years of Experience,Degree,Soft_Skills,Hard_Skills
Sales Associate – Azadea – Manama,Free Gulf Jobs,"Manama, Bahrain",17 days ago,Sales Outsourcing,"sales associate – azadea – manama sales associate(job number: sal002085) description * greet customers, offer assistance and serve them in order to guarantee their needs are addressed in a prompt manner and in compliance with quality and customer service standards
* organize and renew on a continuous basis the shop shelves and ensure that the shop floor and shelves are kept spick-and-span at all times in positioning with the brand’s image and coordination standards
* offer exceptional client service by carrying out up-selling, cross-selling, recommending options and following up on consumers’ requests * specific for multimedia: inform department manager of unavailable and nonperforming products * specific for multimedia: merchandize products under the proper sections according to sales patterns, date of release, and according to the department manager recommendations * specific for multimedia: up-sell and cross-sell products and services in order to reach hourly and everyday sales targets
* make sure smooth and effective receiving procedure of items/shipments, as well as precise stock keeping preventing security risks and thefts by performing physical and electronic stock as required, reporting broken alarms, events, suspicious activities
* manage sales register and deals with the customers in an effective and accurate way as needed * specific for fashion: take accurate measurements for any needed change, appoint cost according to set price list (when applicable) and coordinate required changes qualifications * high school degree
* fluency in english
* efficiency in ms workplace
* skills specific for sports goods retail: collective game, project oriented, athlete/ambassador, enthusiastic, contributor, empathic, entrepreneur and responsible * specific for sports goods retail: active participation in a minimum of one sporting activity
* planning and organizing: level 1
* self – development: level 2
* communication skills: level 2
* cultural awareness: level 1
* client focus: level 1
* effort: level 2
* teamwork: level 2 company: zara primary location: bahrain-bahrain, seef mall schedule: full-time unposting date: ongoing
nan",,,Unspecified,Unspecified, customer service,
Sales Associate – Azadea – Manama,Free Gulf Jobs,"Manama, Bahrain",17 days ago,Sales Outsourcing,"sales associate – azadea – manama sales associate(job number: sal002085) description * greet customers, offer assistance and serve them in order to guarantee their needs are addressed in a prompt manner and in compliance with quality and customer service standards
* organize and renew on a continuous basis the shop shelves and ensure that the shop floor and shelves are kept spick-and-span at all times in positioning with the brand’s image and coordination standards
* offer exceptional client service by carrying out up-selling, cross-selling, recommending options and following up on consumers’ requests * specific for multimedia: inform department manager of unavailable and nonperforming products * specific for multimedia: merchandize products under the proper sections according to sales patterns, date of release, and according to the department manager recommendations * specific for multimedia: up-sell and cross-sell products and services in order to reach hourly and everyday sales targets
* make sure smooth and effective receiving procedure of items/shipments, as well as precise stock keeping preventing security risks and thefts by performing physical and electronic stock as required, reporting broken alarms, events, suspicious activities
* manage sales register and deals with the customers in an effective and accurate way as needed * specific for fashion: take accurate measurements for any needed change, appoint cost according to set price list (when applicable) and coordinate required changes qualifications * high school degree
* fluency in english
* efficiency in ms workplace
* skills specific for sports goods retail: collective game, project oriented, athlete/ambassador, enthusiastic, contributor, empathic, entrepreneur and responsible * specific for sports goods retail: active participation in a minimum of one sporting activity
* planning and organizing: level 1
* self – development: level 2
* communication skills: level 2
* cultural awareness: level 1
* client focus: level 1
* effort: level 2
* teamwork: level 2 company: zara primary location: bahrain-bahrain, seef mall schedule: full-time unposting date: ongoing
nan",,,Unspecified,Unspecified, teamwork,
Sous Chef (In Charge),Rotana Hotel Management Corporation,"Manama, Bahrain",17 days ago,Other Business Support Services,"sous chef (in charge)job description we are currently seeking for passionate and dynamic kitchen professionals who pride themselves on their ability to deliver extraordinary levels of customer service and provide creative solutions to our guests. as a sous chef you are responsible for the smooth operation of the main / outlet kitchen with emphasis on quality, presentation within the guidelines of the standardized menus and employee training, whereby your role will include key responsibilities such as: • supervise the main / outlet kitchen in the preparation and presentation of all food items in accordance with the hotel’s sops and standardized menu guidelines • monitor regular standards of production to ensure highest level of quality • monitor all aspects pertaining to the control of the hotel’s food cost • participate in the drafting of concept ideas and menus for all special events and functions while encouraging all employees to put forward their ideas and utilizing them wherever practical • ensure haccp standards are implemented and follow the appropriate hygiene standards as per municipality requirements at all times • ensure consistent on the job training session for culinary colleagues and promote health &amp; safety skillseducation, qualifications &amp; experiences you should have a professional kitchen apprenticeship or chefs training course and at least three years experiences in quality establishments along with excellent culinary skills. the ability to communicate well in english and a proven track of food preparation, presentation and preservation knowledge is an essential. knowledge &amp; competencies the ideal candidate will be positively spirited and passionate about food and be committed to work together with the service team to deliver an amazing guest experiences every time. you will demonstrate energy and enthusiasm at work, be customer driven, ‘hands on’ and organized. you portray a strong, firm and fair effective leadership style and have proven the ability to work in a multicultural environment and under difficult condition, while possessing following additional competencies: understanding hotel operations effective communication planning for business supervising people understanding differences supervising operations teamwork adaptability customer focus drive for results job location manama, bahrain majestic arjaan by rotana is a first class property that offers a spectacular and luxurious 128 suites conveniently located in busaiteen district, opposite king hamad university hospital and rcsi, 2 kilometers away from bahrain international airport and 5 minutes drive to 'the avenues' a brand new luxury shopping district, bahrain world trade centre, bahrain financial harbour and the bah... rain city center mall. the hotel has easy access to sheikh isa bin salman highway and the saudi causeway. embrace new experiences at majestic arjaan by rotana with its stunning studios, 1, 2 and 3 bedroom suites offering optimal space and developed as duplexes having both short and long term guest in mind. majestic arjaan by rotana also boasts three specialized food and beverage venues to suit every guest’s palate and dining needs. the hotel features the latest high-tech facilities including fully-equipped meeting rooms with the most up-to-date audio-visual equipment and with the delivery of impeccable personalized services that meet the requirements and expectations of its guests either on business travel, relocation or those on leisure vacation. the hotel provides state-of-the-art amenities such as an outdoor temperature controlled swimming pool, kids’ zone, modern cardiovascular and weight training equipment as well as sauna and steam rooms.
nan",,,Unspecified,Unspecified, customer service,
Sous Chef (In Charge),Rotana Hotel Management Corporation,"Manama, Bahrain",17 days ago,Other Business Support Services,"sous chef (in charge)job description we are currently seeking for passionate and dynamic kitchen professionals who pride themselves on their ability to deliver extraordinary levels of customer service and provide creative solutions to our guests. as a sous chef you are responsible for the smooth operation of the main / outlet kitchen with emphasis on quality, presentation within the guidelines of the standardized menus and employee training, whereby your role will include key responsibilities such as: • supervise the main / outlet kitchen in the preparation and presentation of all food items in accordance with the hotel’s sops and standardized menu guidelines • monitor regular standards of production to ensure highest level of quality • monitor all aspects pertaining to the control of the hotel’s food cost • participate in the drafting of concept ideas and menus for all special events and functions while encouraging all employees to put forward their ideas and utilizing them wherever practical • ensure haccp standards are implemented and follow the appropriate hygiene standards as per municipality requirements at all times • ensure consistent on the job training session for culinary colleagues and promote health &amp; safety skillseducation, qualifications &amp; experiences you should have a professional kitchen apprenticeship or chefs training course and at least three years experiences in quality establishments along with excellent culinary skills. the ability to communicate well in english and a proven track of food preparation, presentation and preservation knowledge is an essential. knowledge &amp; competencies the ideal candidate will be positively spirited and passionate about food and be committed to work together with the service team to deliver an amazing guest experiences every time. you will demonstrate energy and enthusiasm at work, be customer driven, ‘hands on’ and organized. you portray a strong, firm and fair effective leadership style and have proven the ability to work in a multicultural environment and under difficult condition, while possessing following additional competencies: understanding hotel operations effective communication planning for business supervising people understanding differences supervising operations teamwork adaptability customer focus drive for results job location manama, bahrain majestic arjaan by rotana is a first class property that offers a spectacular and luxurious 128 suites conveniently located in busaiteen district, opposite king hamad university hospital and rcsi, 2 kilometers away from bahrain international airport and 5 minutes drive to 'the avenues' a brand new luxury shopping district, bahrain world trade centre, bahrain financial harbour and the bah... rain city center mall. the hotel has easy access to sheikh isa bin salman highway and the saudi causeway. embrace new experiences at majestic arjaan by rotana with its stunning studios, 1, 2 and 3 bedroom suites offering optimal space and developed as duplexes having both short and long term guest in mind. majestic arjaan by rotana also boasts three specialized food and beverage venues to suit every guest’s palate and dining needs. the hotel features the latest high-tech facilities including fully-equipped meeting rooms with the most up-to-date audio-visual equipment and with the delivery of impeccable personalized services that meet the requirements and expectations of its guests either on business travel, relocation or those on leisure vacation. the hotel provides state-of-the-art amenities such as an outdoor temperature controlled swimming pool, kids’ zone, modern cardiovascular and weight training equipment as well as sauna and steam rooms.
nan",,,Unspecified,Unspecified, training,
Sous Chef (In Charge),Rotana Hotel Management Corporation,"Manama, Bahrain",17 days ago,Other Business Support Services,"sous chef (in charge)job description we are currently seeking for passionate and dynamic kitchen professionals who pride themselves on their ability to deliver extraordinary levels of customer service and provide creative solutions to our guests. as a sous chef you are responsible for the smooth operation of the main / outlet kitchen with emphasis on quality, presentation within the guidelines of the standardized menus and employee training, whereby your role will include key responsibilities such as: • supervise the main / outlet kitchen in the preparation and presentation of all food items in accordance with the hotel’s sops and standardized menu guidelines • monitor regular standards of production to ensure highest level of quality • monitor all aspects pertaining to the control of the hotel’s food cost • participate in the drafting of concept ideas and menus for all special events and functions while encouraging all employees to put forward their ideas and utilizing them wherever practical • ensure haccp standards are implemented and follow the appropriate hygiene standards as per municipality requirements at all times • ensure consistent on the job training session for culinary colleagues and promote health &amp; safety skillseducation, qualifications &amp; experiences you should have a professional kitchen apprenticeship or chefs training course and at least three years experiences in quality establishments along with excellent culinary skills. the ability to communicate well in english and a proven track of food preparation, presentation and preservation knowledge is an essential. knowledge &amp; competencies the ideal candidate will be positively spirited and passionate about food and be committed to work together with the service team to deliver an amazing guest experiences every time. you will demonstrate energy and enthusiasm at work, be customer driven, ‘hands on’ and organized. you portray a strong, firm and fair effective leadership style and have proven the ability to work in a multicultural environment and under difficult condition, while possessing following additional competencies: understanding hotel operations effective communication planning for business supervising people understanding differences supervising operations teamwork adaptability customer focus drive for results job location manama, bahrain majestic arjaan by rotana is a first class property that offers a spectacular and luxurious 128 suites conveniently located in busaiteen district, opposite king hamad university hospital and rcsi, 2 kilometers away from bahrain international airport and 5 minutes drive to 'the avenues' a brand new luxury shopping district, bahrain world trade centre, bahrain financial harbour and the bah... rain city center mall. the hotel has easy access to sheikh isa bin salman highway and the saudi causeway. embrace new experiences at majestic arjaan by rotana with its stunning studios, 1, 2 and 3 bedroom suites offering optimal space and developed as duplexes having both short and long term guest in mind. majestic arjaan by rotana also boasts three specialized food and beverage venues to suit every guest’s palate and dining needs. the hotel features the latest high-tech facilities including fully-equipped meeting rooms with the most up-to-date audio-visual equipment and with the delivery of impeccable personalized services that meet the requirements and expectations of its guests either on business travel, relocation or those on leisure vacation. the hotel provides state-of-the-art amenities such as an outdoor temperature controlled swimming pool, kids’ zone, modern cardiovascular and weight training equipment as well as sauna and steam rooms.
nan",,,Unspecified,Unspecified, enthusiasm,
Sous Chef (In Charge),Rotana Hotel Management Corporation,"Manama, Bahrain",17 days ago,Other Business Support Services,"sous chef (in charge)job description we are currently seeking for passionate and dynamic kitchen professionals who pride themselves on their ability to deliver extraordinary levels of customer service and provide creative solutions to our guests. as a sous chef you are responsible for the smooth operation of the main / outlet kitchen with emphasis on quality, presentation within the guidelines of the standardized menus and employee training, whereby your role will include key responsibilities such as: • supervise the main / outlet kitchen in the preparation and presentation of all food items in accordance with the hotel’s sops and standardized menu guidelines • monitor regular standards of production to ensure highest level of quality • monitor all aspects pertaining to the control of the hotel’s food cost • participate in the drafting of concept ideas and menus for all special events and functions while encouraging all employees to put forward their ideas and utilizing them wherever practical • ensure haccp standards are implemented and follow the appropriate hygiene standards as per municipality requirements at all times • ensure consistent on the job training session for culinary colleagues and promote health &amp; safety skillseducation, qualifications &amp; experiences you should have a professional kitchen apprenticeship or chefs training course and at least three years experiences in quality establishments along with excellent culinary skills. the ability to communicate well in english and a proven track of food preparation, presentation and preservation knowledge is an essential. knowledge &amp; competencies the ideal candidate will be positively spirited and passionate about food and be committed to work together with the service team to deliver an amazing guest experiences every time. you will demonstrate energy and enthusiasm at work, be customer driven, ‘hands on’ and organized. you portray a strong, firm and fair effective leadership style and have proven the ability to work in a multicultural environment and under difficult condition, while possessing following additional competencies: understanding hotel operations effective communication planning for business supervising people understanding differences supervising operations teamwork adaptability customer focus drive for results job location manama, bahrain majestic arjaan by rotana is a first class property that offers a spectacular and luxurious 128 suites conveniently located in busaiteen district, opposite king hamad university hospital and rcsi, 2 kilometers away from bahrain international airport and 5 minutes drive to 'the avenues' a brand new luxury shopping district, bahrain world trade centre, bahrain financial harbour and the bah... rain city center mall. the hotel has easy access to sheikh isa bin salman highway and the saudi causeway. embrace new experiences at majestic arjaan by rotana with its stunning studios, 1, 2 and 3 bedroom suites offering optimal space and developed as duplexes having both short and long term guest in mind. majestic arjaan by rotana also boasts three specialized food and beverage venues to suit every guest’s palate and dining needs. the hotel features the latest high-tech facilities including fully-equipped meeting rooms with the most up-to-date audio-visual equipment and with the delivery of impeccable personalized services that meet the requirements and expectations of its guests either on business travel, relocation or those on leisure vacation. the hotel provides state-of-the-art amenities such as an outdoor temperature controlled swimming pool, kids’ zone, modern cardiovascular and weight training equipment as well as sauna and steam rooms.
nan",,,Unspecified,Unspecified, leadership,
Sous Chef (In Charge),Rotana Hotel Management Corporation,"Manama, Bahrain",17 days ago,Other Business Support Services,"sous chef (in charge)job description we are currently seeking for passionate and dynamic kitchen professionals who pride themselves on their ability to deliver extraordinary levels of customer service and provide creative solutions to our guests. as a sous chef you are responsible for the smooth operation of the main / outlet kitchen with emphasis on quality, presentation within the guidelines of the standardized menus and employee training, whereby your role will include key responsibilities such as: • supervise the main / outlet kitchen in the preparation and presentation of all food items in accordance with the hotel’s sops and standardized menu guidelines • monitor regular standards of production to ensure highest level of quality • monitor all aspects pertaining to the control of the hotel’s food cost • participate in the drafting of concept ideas and menus for all special events and functions while encouraging all employees to put forward their ideas and utilizing them wherever practical • ensure haccp standards are implemented and follow the appropriate hygiene standards as per municipality requirements at all times • ensure consistent on the job training session for culinary colleagues and promote health &amp; safety skillseducation, qualifications &amp; experiences you should have a professional kitchen apprenticeship or chefs training course and at least three years experiences in quality establishments along with excellent culinary skills. the ability to communicate well in english and a proven track of food preparation, presentation and preservation knowledge is an essential. knowledge &amp; competencies the ideal candidate will be positively spirited and passionate about food and be committed to work together with the service team to deliver an amazing guest experiences every time. you will demonstrate energy and enthusiasm at work, be customer driven, ‘hands on’ and organized. you portray a strong, firm and fair effective leadership style and have proven the ability to work in a multicultural environment and under difficult condition, while possessing following additional competencies: understanding hotel operations effective communication planning for business supervising people understanding differences supervising operations teamwork adaptability customer focus drive for results job location manama, bahrain majestic arjaan by rotana is a first class property that offers a spectacular and luxurious 128 suites conveniently located in busaiteen district, opposite king hamad university hospital and rcsi, 2 kilometers away from bahrain international airport and 5 minutes drive to 'the avenues' a brand new luxury shopping district, bahrain world trade centre, bahrain financial harbour and the bah... rain city center mall. the hotel has easy access to sheikh isa bin salman highway and the saudi causeway. embrace new experiences at majestic arjaan by rotana with its stunning studios, 1, 2 and 3 bedroom suites offering optimal space and developed as duplexes having both short and long term guest in mind. majestic arjaan by rotana also boasts three specialized food and beverage venues to suit every guest’s palate and dining needs. the hotel features the latest high-tech facilities including fully-equipped meeting rooms with the most up-to-date audio-visual equipment and with the delivery of impeccable personalized services that meet the requirements and expectations of its guests either on business travel, relocation or those on leisure vacation. the hotel provides state-of-the-art amenities such as an outdoor temperature controlled swimming pool, kids’ zone, modern cardiovascular and weight training equipment as well as sauna and steam rooms.
nan",,,Unspecified,Unspecified, supervising,
Sous Chef (In Charge),Rotana Hotel Management Corporation,"Manama, Bahrain",17 days ago,Other Business Support Services,"sous chef (in charge)job description we are currently seeking for passionate and dynamic kitchen professionals who pride themselves on their ability to deliver extraordinary levels of customer service and provide creative solutions to our guests. as a sous chef you are responsible for the smooth operation of the main / outlet kitchen with emphasis on quality, presentation within the guidelines of the standardized menus and employee training, whereby your role will include key responsibilities such as: • supervise the main / outlet kitchen in the preparation and presentation of all food items in accordance with the hotel’s sops and standardized menu guidelines • monitor regular standards of production to ensure highest level of quality • monitor all aspects pertaining to the control of the hotel’s food cost • participate in the drafting of concept ideas and menus for all special events and functions while encouraging all employees to put forward their ideas and utilizing them wherever practical • ensure haccp standards are implemented and follow the appropriate hygiene standards as per municipality requirements at all times • ensure consistent on the job training session for culinary colleagues and promote health &amp; safety skillseducation, qualifications &amp; experiences you should have a professional kitchen apprenticeship or chefs training course and at least three years experiences in quality establishments along with excellent culinary skills. the ability to communicate well in english and a proven track of food preparation, presentation and preservation knowledge is an essential. knowledge &amp; competencies the ideal candidate will be positively spirited and passionate about food and be committed to work together with the service team to deliver an amazing guest experiences every time. you will demonstrate energy and enthusiasm at work, be customer driven, ‘hands on’ and organized. you portray a strong, firm and fair effective leadership style and have proven the ability to work in a multicultural environment and under difficult condition, while possessing following additional competencies: understanding hotel operations effective communication planning for business supervising people understanding differences supervising operations teamwork adaptability customer focus drive for results job location manama, bahrain majestic arjaan by rotana is a first class property that offers a spectacular and luxurious 128 suites conveniently located in busaiteen district, opposite king hamad university hospital and rcsi, 2 kilometers away from bahrain international airport and 5 minutes drive to 'the avenues' a brand new luxury shopping district, bahrain world trade centre, bahrain financial harbour and the bah... rain city center mall. the hotel has easy access to sheikh isa bin salman highway and the saudi causeway. embrace new experiences at majestic arjaan by rotana with its stunning studios, 1, 2 and 3 bedroom suites offering optimal space and developed as duplexes having both short and long term guest in mind. majestic arjaan by rotana also boasts three specialized food and beverage venues to suit every guest’s palate and dining needs. the hotel features the latest high-tech facilities including fully-equipped meeting rooms with the most up-to-date audio-visual equipment and with the delivery of impeccable personalized services that meet the requirements and expectations of its guests either on business travel, relocation or those on leisure vacation. the hotel provides state-of-the-art amenities such as an outdoor temperature controlled swimming pool, kids’ zone, modern cardiovascular and weight training equipment as well as sauna and steam rooms.
nan",,,Unspecified,Unspecified, teamwork,
Videographer,Calo Inc,"Manama, Bahrain",17 days ago,Other Business Support Services," about calo launched in bahrain in november of 2019, calo is on a mission to make healthy easy. we’re a team of dedicated people driving this mission by providing better, faster, and cheaper ways to access food through technology.  role overviewwe are looking for an organized and creative professional to function as a videographer for calo, to brainstorm content ideas, plan, shoot, and edit short videos that could aid us in our social media efforts.  main responsibilitiescome up with creative and trendy concepts filming in proper lighting and audio clarity with perfect lens choice shoot videos, edit them, and submit them as delivered videos   ideal candidatehas previous experience with content creationability to work independently proficiency with video editing software such as adobe premiere proexperience in shooting short videos (30 - 60 seconds)must have own camera, lighting, etca strong portfolio of short videosexperience in stop-motion animation is a big plusexperience shooting for food content is another big pluspersonalitywell-organized, detail-oriented with a keen eye for aesthetics creative, flexible and reliablego-getter and always up for a challengegreat in problem solving
nan",,,Unspecified,Unspecified,, social media
Videographer,Calo Inc,"Manama, Bahrain",17 days ago,Other Business Support Services," about calo launched in bahrain in november of 2019, calo is on a mission to make healthy easy. we’re a team of dedicated people driving this mission by providing better, faster, and cheaper ways to access food through technology.  role overviewwe are looking for an organized and creative professional to function as a videographer for calo, to brainstorm content ideas, plan, shoot, and edit short videos that could aid us in our social media efforts.  main responsibilitiescome up with creative and trendy concepts filming in proper lighting and audio clarity with perfect lens choice shoot videos, edit them, and submit them as delivered videos   ideal candidatehas previous experience with content creationability to work independently proficiency with video editing software such as adobe premiere proexperience in shooting short videos (30 - 60 seconds)must have own camera, lighting, etca strong portfolio of short videosexperience in stop-motion animation is a big plusexperience shooting for food content is another big pluspersonalitywell-organized, detail-oriented with a keen eye for aesthetics creative, flexible and reliablego-getter and always up for a challengegreat in problem solving
nan",,,Unspecified,Unspecified,,camera
Duty Manager / Night Manager - Wyndham Garden Manama,Wyndham Hotel Group,"Manama, Bahrain",17 days ago,Management Consulting," duty manager / night manager - wyndham garden manama location: manama, bh property name: wyndham garden manama req id: 20913 wyndham hotes &amp; resorts is now seeking a duty manager / night manager ,to join our team at wyndham garden in manama,bahrain job summary the duty manager /night manager is responsible for ensuring that all daily reports are generated, daily revenues are balanced, express checkouts are processed efficiently and guests needing assistance during the shift are accommodated. the night manager will provide the management team with accurate and reliable information needed to make effective operational decisions. education &amp; experience * at least 2 years of progressive experience in a hotel or a related field; or a 2-year college degree and 2 or more years of related experience; or a 4-year college degree and at least 1 year of related experience.
* supervisory experience preferred.
* must be proficient in windows, company approved spreadsheets and word processing.
* must have a valid driver’s license from the applicable state. physical requirements often sometimes rarely lifting up to 50 pounds x sitting x walking x standing x bending neck x twisting neck x bending waist (forward or sideways) x squatting (crouch or site on one's heels) x kneeling x crawling x reach above shoulder height x reach below shoulder height x driving x stooping x pushing x pulling x talking x hearing x repetitive motions x general requirements * maintain a warm and friendly demeanor at all times.
* must be able to effectively communicate both verbally and written, and approach all encounters with all level of associates and guests in an attentive, friendly, courteous and count on me! service-oriented manner.
* must be effective at listening to, understanding, and clarifying concerns raised by associates and guests.
* must be able to multitask and prioritize departmental functions to meet deadlines.
* attend all hotel required meetings and trainings.
* participate in m.o.d. coverage as required.
* maintain regular attendance in compliance with wyndham hotels &amp; resorts management standards, as required by scheduling, which will vary according to the needs of the hotel.
* maintain high standards of personal appearance and grooming, which include wearing nametags.
* comply with wyndham hotels &amp; resorts management standards and regulations to encourage safe and efficient hotel operations.
* maximize efforts towards productivity, identify problem areas and assist in implementing solutions.
* must be effective in handling problems, including anticipating, preventing, identifying and solving problems as necessary.
* must be able to understand and evaluate complex information, data, etc. from various sources to meet appropriate objectives.
* must be able to maintain confidentiality of information.
* perform other duties as requested by management. fundamental requirements * prepare and submit required reports in a timely manner.
* monitor quality of service in the department.
* ensure compliance with sops and procedures in the department
* be visible on the floor and assist staff as needed.
* provide feedback to the department head for associate performance reviews in accordance with wyndham standards.
* be involved in and/or conduct departmental and hotel training.
* assist with the management of the interviewing process of candidates for department positions and follow standards for hiring approvals.
* ensure overall guest satisfaction.
* assist with the management of department associates.
* respond to guest complaints in a timely manner.
* comply with weekly and monthly forecasting procedures.
* ensure the training of associates on sop’s, report preparation and technical job tasks. * check guests in and out.
* handle and take reservations.
* handle guest’s special requests and customer complaints during shift.
* perform all other front desk duties and responsibilities.
* investigate and handle complaints, disturbances, emergencies, etc. during shift.
* perform some night audit functions, able to review all night audit related functions and able to produce night audit reports.
* prepare night audit month-end reports, including in-house movie reports, house account summary, phone summary, etc.
* prepare, copy, and distribute reports as required.
* monitor and prepare night audit reports in accordance with wyndham’s requirements meeting various due dates and deadlines
nan",,,Unspecified,Unspecified, management,
Duty Manager / Night Manager - Wyndham Garden Manama,Wyndham Hotel Group,"Manama, Bahrain",17 days ago,Management Consulting," duty manager / night manager - wyndham garden manama location: manama, bh property name: wyndham garden manama req id: 20913 wyndham hotes &amp; resorts is now seeking a duty manager / night manager ,to join our team at wyndham garden in manama,bahrain job summary the duty manager /night manager is responsible for ensuring that all daily reports are generated, daily revenues are balanced, express checkouts are processed efficiently and guests needing assistance during the shift are accommodated. the night manager will provide the management team with accurate and reliable information needed to make effective operational decisions. education &amp; experience * at least 2 years of progressive experience in a hotel or a related field; or a 2-year college degree and 2 or more years of related experience; or a 4-year college degree and at least 1 year of related experience.
* supervisory experience preferred.
* must be proficient in windows, company approved spreadsheets and word processing.
* must have a valid driver’s license from the applicable state. physical requirements often sometimes rarely lifting up to 50 pounds x sitting x walking x standing x bending neck x twisting neck x bending waist (forward or sideways) x squatting (crouch or site on one's heels) x kneeling x crawling x reach above shoulder height x reach below shoulder height x driving x stooping x pushing x pulling x talking x hearing x repetitive motions x general requirements * maintain a warm and friendly demeanor at all times.
* must be able to effectively communicate both verbally and written, and approach all encounters with all level of associates and guests in an attentive, friendly, courteous and count on me! service-oriented manner.
* must be effective at listening to, understanding, and clarifying concerns raised by associates and guests.
* must be able to multitask and prioritize departmental functions to meet deadlines.
* attend all hotel required meetings and trainings.
* participate in m.o.d. coverage as required.
* maintain regular attendance in compliance with wyndham hotels &amp; resorts management standards, as required by scheduling, which will vary according to the needs of the hotel.
* maintain high standards of personal appearance and grooming, which include wearing nametags.
* comply with wyndham hotels &amp; resorts management standards and regulations to encourage safe and efficient hotel operations.
* maximize efforts towards productivity, identify problem areas and assist in implementing solutions.
* must be effective in handling problems, including anticipating, preventing, identifying and solving problems as necessary.
* must be able to understand and evaluate complex information, data, etc. from various sources to meet appropriate objectives.
* must be able to maintain confidentiality of information.
* perform other duties as requested by management. fundamental requirements * prepare and submit required reports in a timely manner.
* monitor quality of service in the department.
* ensure compliance with sops and procedures in the department
* be visible on the floor and assist staff as needed.
* provide feedback to the department head for associate performance reviews in accordance with wyndham standards.
* be involved in and/or conduct departmental and hotel training.
* assist with the management of the interviewing process of candidates for department positions and follow standards for hiring approvals.
* ensure overall guest satisfaction.
* assist with the management of department associates.
* respond to guest complaints in a timely manner.
* comply with weekly and monthly forecasting procedures.
* ensure the training of associates on sop’s, report preparation and technical job tasks. * check guests in and out.
* handle and take reservations.
* handle guest’s special requests and customer complaints during shift.
* perform all other front desk duties and responsibilities.
* investigate and handle complaints, disturbances, emergencies, etc. during shift.
* perform some night audit functions, able to review all night audit related functions and able to produce night audit reports.
* prepare night audit month-end reports, including in-house movie reports, house account summary, phone summary, etc.
* prepare, copy, and distribute reports as required.
* monitor and prepare night audit reports in accordance with wyndham’s requirements meeting various due dates and deadlines
nan",,,Unspecified,Unspecified, listening,
Duty Manager / Night Manager - Wyndham Garden Manama,Wyndham Hotel Group,"Manama, Bahrain",17 days ago,Management Consulting," duty manager / night manager - wyndham garden manama location: manama, bh property name: wyndham garden manama req id: 20913 wyndham hotes &amp; resorts is now seeking a duty manager / night manager ,to join our team at wyndham garden in manama,bahrain job summary the duty manager /night manager is responsible for ensuring that all daily reports are generated, daily revenues are balanced, express checkouts are processed efficiently and guests needing assistance during the shift are accommodated. the night manager will provide the management team with accurate and reliable information needed to make effective operational decisions. education &amp; experience * at least 2 years of progressive experience in a hotel or a related field; or a 2-year college degree and 2 or more years of related experience; or a 4-year college degree and at least 1 year of related experience.
* supervisory experience preferred.
* must be proficient in windows, company approved spreadsheets and word processing.
* must have a valid driver’s license from the applicable state. physical requirements often sometimes rarely lifting up to 50 pounds x sitting x walking x standing x bending neck x twisting neck x bending waist (forward or sideways) x squatting (crouch or site on one's heels) x kneeling x crawling x reach above shoulder height x reach below shoulder height x driving x stooping x pushing x pulling x talking x hearing x repetitive motions x general requirements * maintain a warm and friendly demeanor at all times.
* must be able to effectively communicate both verbally and written, and approach all encounters with all level of associates and guests in an attentive, friendly, courteous and count on me! service-oriented manner.
* must be effective at listening to, understanding, and clarifying concerns raised by associates and guests.
* must be able to multitask and prioritize departmental functions to meet deadlines.
* attend all hotel required meetings and trainings.
* participate in m.o.d. coverage as required.
* maintain regular attendance in compliance with wyndham hotels &amp; resorts management standards, as required by scheduling, which will vary according to the needs of the hotel.
* maintain high standards of personal appearance and grooming, which include wearing nametags.
* comply with wyndham hotels &amp; resorts management standards and regulations to encourage safe and efficient hotel operations.
* maximize efforts towards productivity, identify problem areas and assist in implementing solutions.
* must be effective in handling problems, including anticipating, preventing, identifying and solving problems as necessary.
* must be able to understand and evaluate complex information, data, etc. from various sources to meet appropriate objectives.
* must be able to maintain confidentiality of information.
* perform other duties as requested by management. fundamental requirements * prepare and submit required reports in a timely manner.
* monitor quality of service in the department.
* ensure compliance with sops and procedures in the department
* be visible on the floor and assist staff as needed.
* provide feedback to the department head for associate performance reviews in accordance with wyndham standards.
* be involved in and/or conduct departmental and hotel training.
* assist with the management of the interviewing process of candidates for department positions and follow standards for hiring approvals.
* ensure overall guest satisfaction.
* assist with the management of department associates.
* respond to guest complaints in a timely manner.
* comply with weekly and monthly forecasting procedures.
* ensure the training of associates on sop’s, report preparation and technical job tasks. * check guests in and out.
* handle and take reservations.
* handle guest’s special requests and customer complaints during shift.
* perform all other front desk duties and responsibilities.
* investigate and handle complaints, disturbances, emergencies, etc. during shift.
* perform some night audit functions, able to review all night audit related functions and able to produce night audit reports.
* prepare night audit month-end reports, including in-house movie reports, house account summary, phone summary, etc.
* prepare, copy, and distribute reports as required.
* monitor and prepare night audit reports in accordance with wyndham’s requirements meeting various due dates and deadlines
nan",,,Unspecified,Unspecified, scheduling,
